id,programa,fecha_instalacion,latitud,longitud,colonia,alcaldia
2460,Postes C5,2019-06-15,19.43212,-99.12565,CENTRO VII,CUAUHTEMOC
2461,Postes C5,2019-08-15,19.4244,-99.12808,CENTRO VI,CUAUHTEMOC
2462,Postes C5,2019-06-15,19.4097,-99.16568,ROMA SUR I,CUAUHTEMOC
2463,Postes C5,2019-10-15,19.43877,-99.13538,CENTRO II,CUAUHTEMOC
2464,Postes C5,2019-10-15,19.43754,-99.13568,CENTRO IV,CUAUHTEMOC
2465,Postes C5,2019-05-15,19.43969,-99.12508,CENTRO II,CUAUHTEMOC
2466,Postes C5,2019-11-15,19.43759,-99.12543,CENTRO III,CUAUHTEMOC
2467,Postes C5,2019-10-15,19.44169,-99.12483,CENTRO II,CUAUHTEMOC
2468,Postes C5,2019-08-15,19.45254,-99.14453,NONOALCO-TLATELOLCO (U HAB) II,CUAUHTEMOC
2469,Postes C5,2020-02-15,19.44182,-99.13091,CENTRO I,CUAUHTEMOC
2470,Postes C5,2019-03-15,19.43423,-99.13715,CENTRO IV,CUAUHTEMOC
2471,Postes C5,2019-11-15,19.44326,-99.13271,CENTRO I,CUAUHTEMOC
2472,Postes C5,2019-06-15,19.44204,-99.13883,CENTRO I,CUAUHTEMOC
2473,Postes C5,2019-05-15,19.44208,-99.13717,CENTRO I,CUAUHTEMOC
2474,Postes C5,2019-10-15,19.44318,-99.1379,CENTRO I,CUAUHTEMOC
2475,Postes C5,2019-11-15,19.43707,-99.12486,CENTRO III,CUAUHTEMOC
2476,Postes C5,2019-08-15,19.43959,-99.13745,CENTRO IV,CUAUHTEMOC
2477,Postes C5,2019-08-15,19.43836,-99.1389,CENTRO IV,CUAUHTEMOC
2478,Postes C5,2020-05-15,19.44208,-99.12889,CENTRO I,CUAUHTEMOC
2479,Postes C5,2019-04-15,19.44386,-99.13694,MORELOS III,CUAUHTEMOC
2480,Postes C5,2019-09-15,19.44372,-99.13533,MORELOS III,CUAUHTEMOC
2481,Postes C5,2019-10-15,19.44273,-99.12483,CENTRO I,CUAUHTEMOC
2482,Postes C5,2019-11-15,19.42312,-99.12932,TRANSITO,CUAUHTEMOC
2483,Postes C5,2019-10-15,19.44194,-99.12743,CENTRO I,CUAUHTEMOC
2484,Postes C5,2019-08-15,19.43734,-99.13773,CENTRO IV,CUAUHTEMOC
2485,Postes C5,2019-12-15,19.4365,-99.13156,CENTRO III,CUAUHTEMOC
2486,Postes C5,2019-12-15,19.43471,-99.14018,CENTRO IV,CUAUHTEMOC
2487,Postes C5,2019-08-15,19.4148,-99.14106,OBRERA II,CUAUHTEMOC
2488,Postes C5,2019-07-15,19.41221,-99.12802,PAULINO NAVARRO,CUAUHTEMOC
2489,Postes C5,2019-11-15,19.43632,-99.13613,CENTRO IV,CUAUHTEMOC
2490,Postes C5,2019-06-15,19.43594,-99.13326,CENTRO IV,CUAUHTEMOC
2491,Postes C5,2019-09-15,19.43761,-99.13908,CENTRO IV,CUAUHTEMOC
2492,Postes C5,2019-07-15,19.43547,-99.13671,CENTRO IV,CUAUHTEMOC
2493,Postes C5,2019-10-15,19.43453,-99.13495,CENTRO IV,CUAUHTEMOC
2494,Postes C5,2019-10-15,19.43362,-99.13085,CENTRO IV,CUAUHTEMOC
2495,Postes C5,2019-03-15,19.43478,-99.14089,CENTRO VIII,CUAUHTEMOC
2496,Postes C5,2019-11-15,19.43439,-99.13848,CENTRO IV,CUAUHTEMOC
2497,Postes C5,2019-06-15,19.43407,-99.1356,CENTRO IV,CUAUHTEMOC
2498,Postes C5,2019-08-15,19.43372,-99.13235,CENTRO IV,CUAUHTEMOC
2499,Postes C5,2019-08-15,19.44846,-99.14178,GUERRERO I,CUAUHTEMOC
2500,Postes C5,2019-12-15,19.44883,-99.1394,GUERRERO I,CUAUHTEMOC
2501,Postes C5,2019-12-15,19.43394,-99.13938,CENTRO IV,CUAUHTEMOC
2502,Postes C5,2019-10-15,19.43351,-99.13726,CENTRO IV,CUAUHTEMOC
2503,Postes C5,2019-06-15,19.43339,-99.1352,CENTRO IV,CUAUHTEMOC
2504,Postes C5,2019-04-15,19.43128,-99.13661,CENTRO IV,CUAUHTEMOC
2505,Postes C5,2019-12-15,19.43276,-99.14123,CENTRO VIII,CUAUHTEMOC
2506,Postes C5,2019-10-15,19.4325,-99.13953,CENTRO IV,CUAUHTEMOC
2507,Postes C5,2019-10-15,19.4325,-99.13858,CENTRO IV,CUAUHTEMOC
2508,Postes C5,2019-11-15,19.43224,-99.13728,CENTRO IV,CUAUHTEMOC
2509,Postes C5,2019-04-15,19.44206,-99.14034,GUERRERO IV,CUAUHTEMOC
2510,Postes C5,2019-10-15,19.43381,-99.13407,CENTRO IV,CUAUHTEMOC
